id,id_pre,has_hit
s235,0.9840000000000001,1
s236,1.0,1
s237,0.997,1
s238,0.988,1
s239,1.0,1
s240,0.919,1
s241,0.899,1
s242,0.929,1
s243,0.825,1
s244,0.9940000000000001,1
s245,1.0,1
s246,0.995,1
s247,1.0,1
s248,0.9940000000000001,1
s249,1.0,1
s250,0.995,1
s251,0.995,1
s252,0.8370000000000001,1
s253,1.0,1
s254,0.9890000000000001,1
s255,0.7070000000000001,1
s256,0.997,1
s257,0.992,1
s258,0.995,1
s259,0.9940000000000001,1
s260,0.996,1
s261,0.898,1
s262,1.0,1
s263,0.905,1
s264,0.99,1
s265,0.748,1
s266,0.981,1
s267,1.0,1
s268,0.995,1
s269,0.991,1
s270,1.0,1
s271,0.986,1
s272,0.667,1
s273,0.782,1
s274,0.9940000000000001,1
s275,1.0,1
s276,1.0,1
s277,1.0,1
s278,0.9940000000000001,1
s279,0.997,1
s280,0.997,1
s281,1.0,1
s282,0.997,1
s283,0.995,1
s284,0.99,1
s285,0.995,1
s286,0.997,1
s287,0.9940000000000001,1
s288,0.9940000000000001,1
s289,1.0,1
s290,0.82,1
s291,1.0,1
s292,0.995,1
s293,0.983,1
s294,0.867,1
s295,0.898,1
s296,0.509,1
s297,1.0,1
s298,1.0,1
s299,0.7709999999999999,1
s300,1.0,1
s301,1.0,1
s302,1.0,1
s303,0.987,1
s304,1.0,1
s305,0.997,1
s306,0.99,1
s307,0.9940000000000001,1
s308,1.0,1
s309,1.0,1
s310,0.998,1
s311,1.0,1
s312,1.0,1
s313,0.765,1
s314,0.843,1
s315,0.997,1
s316,0.9840000000000001,1
s317,0.983,1
s318,1.0,1
s319,0.993,1
s320,1.0,1
s321,0.998,1
s322,0.972,1
s323,1.0,1
s324,1.0,1
s325,1.0,1
s326,1.0,1
s327,0.9940000000000001,1
s328,0.917,1
s329,0.915,1
s330,0.9890000000000001,1
s331,0.9940000000000001,1
s332,0.996,1
s333,0.996,1
s334,0.996,1
s335,0.997,1
s336,0.841,1
s337,0.899,1
s338,0.9159999999999999,1
s339,0.77,1
s340,0.884,1
s341,0.884,1
s342,1.0,1
s343,1.0,1
s344,0.9940000000000001,1
s345,1.0,1
s346,0.915,1
s347,1.0,1
s348,0.977,1
s349,0.9940000000000001,1
s350,0.986,1
s351,0.993,1
s352,0.998,1
s353,0.602,1
s354,0.758,1
s355,1.0,1
s356,1.0,1
s357,1.0,1
s358,0.993,1
s359,0.995,1
s360,0.855,1
s361,0.812,1
s362,0.992,1
s363,0.866,1
s364,0.9940000000000001,1
s365,1.0,1
s366,0.998,1
s367,0.993,1
s368,1.0,1
s369,0.9940000000000001,1
s370,1.0,1
s371,1.0,1
s372,1.0,1
s373,0.9940000000000001,1
s374,1.0,1
s375,0.983,1
s376,1.0,1
s377,0.6679999999999999,1
s378,1.0,1
s379,0.995,1
s380,0.992,1
s381,0.9940000000000001,1
s382,0.642,1
s383,0.667,1
s384,0.6829999999999999,1
s385,0.992,1
s386,0.9940000000000001,1
s387,1.0,1
s388,0.997,1
s389,0.996,1
s390,1.0,1
s391,0.981,1
s392,0.981,1
s393,0.895,1
s394,1.0,1
s395,1.0,1
s396,0.996,1
s397,0.993,1
s398,0.71,1
s399,0.995,1
s400,1.0,1
s401,0.9890000000000001,1
s402,1.0,1
s403,0.996,1
s404,0.971,1
s405,1.0,1
s406,1.0,1
s407,1.0,1
s408,1.0,1
s409,1.0,1
s410,0.5920000000000001,1
s411,1.0,1
s412,0.992,1
s413,1.0,1
s414,0.972,1
s415,0.774,1
s416,0.868,1
s417,0.621,1
s418,0.677,1
s419,1.0,1
s420,0.9840000000000001,1
s421,0.963,1
s422,0.865,1
s423,0.9840000000000001,1
s424,0.985,1
s425,1.0,1
s426,0.992,1
s427,0.955,1
s428,0.963,1
s429,1.0,1
s430,0.992,1
s431,0.985,1
s432,0.997,1
s433,0.997,1
s434,1.0,1
s435,0.9890000000000001,1
s436,0.993,1
s437,0.987,1
s438,0.997,1
s439,0.995,1
s440,0.98,1
s441,1.0,1
s442,0.992,1
s443,0.996,1
s444,0.996,1
s445,0.996,1
s446,0.996,1
s447,0.996,1
s448,0.996,1
s449,0.992,1
s450,0.9790000000000001,1
s451,1.0,1
s452,1.0,1
s453,0.9740000000000001,1
s454,0.978,1
s455,1.0,1
s456,1.0,1
s457,0.992,1
s458,0.768,1
s459,0.992,1
s460,0.997,1
s461,0.995,1
s462,1.0,1
s463,0.993,1
s464,0.998,1
s465,0.985,1
s466,0.998,1
s467,1.0,1
s468,1.0,1
s469,0.996,1
s470,0.998,1
s471,0.995,1
s472,0.995,1
s473,0.983,1
s474,0.98,1
s475,0.98,1
s476,0.99,1
s477,0.99,1
s478,0.99,1
s479,0.9129999999999999,1
s480,0.8190000000000001,1
s481,0.89,1
s482,0.924,1
s483,0.9209999999999999,1
s484,0.941,1
s485,0.77,1
s486,1.0,1
s487,0.9990000000000001,1
s488,0.9420000000000001,1
s489,0.9690000000000001,1
s490,0.997,1
s491,1.0,1
s492,0.9470000000000001,1
s493,1.0,1
s494,0.9840000000000001,1
s495,1.0,1
s496,1.0,1
s497,0.89,1
s498,0.934,1
s499,1.0,1
s500,0.995,1
s501,0.995,1
s502,0.995,1
s503,0.988,1
s504,0.992,1
s505,0.992,1
s506,0.992,1
s507,0.992,1
s508,1.0,1
s509,1.0,1
s510,0.996,1
s511,0.9840000000000001,1
s512,1.0,1
s513,1.0,1
s514,0.831,1
s515,0.93,1
s516,0.9990000000000001,1
s517,0.9890000000000001,1
s518,0.998,1
s519,0.992,1
s520,0.992,1
s521,0.996,1
s522,0.992,1
s523,0.992,1
s524,0.992,1
s525,1.0,1
s526,0.867,1
s527,1.0,1
s528,0.7829999999999999,1
s529,0.888,1
s530,0.667,1
s531,0.9329999999999999,1
s532,0.95,1
s533,0.998,1
s534,1.0,1
s535,0.988,1
s536,0.997,1
s537,1.0,1
s538,1.0,1
s539,0.998,1
s540,0.997,1
s541,0.998,1
s542,0.992,1
s543,1.0,1
s544,0.9890000000000001,1
s545,0.9740000000000001,1
s546,0.978,1
s547,0.92,1
s548,0.945,1
s549,1.0,1
s550,1.0,1
s551,1.0,1
s552,0.9890000000000001,1
s553,0.684,1
s554,0.639,1
s555,0.997,1
s556,1.0,1
s557,0.9259999999999999,1
s558,0.7070000000000001,1
s559,1.0,1
s560,0.985,1
s561,1.0,1
s562,1.0,1
s563,1.0,1
s564,0.997,1
s565,0.7440000000000001,1
s566,1.0,1
s567,0.951,1
s568,1.0,1
s569,1.0,1
s570,0.977,1
s571,0.996,1
s572,0.5720000000000001,1
s573,0.6970000000000001,1
s574,0.97,1
s575,0.97,1
s576,0.973,1
s577,0.97,1
s578,0.97,1
s579,0.97,1
s580,0.97,1
s581,0.97,1
s582,0.97,1
s583,0.97,1
s584,0.97,1
s585,1.0,1
s586,0.97,1
s587,0.97,1
s588,0.97,1
s589,0.97,1
s590,0.996,1
s591,1.0,1
s592,0.97,1
s593,1.0,1
s594,0.9259999999999999,1
s595,0.998,1
s596,0.9940000000000001,1
s597,0.9590000000000001,1
s598,1.0,1
s599,0.993,1
s600,0.997,1
s601,0.9329999999999999,1
s602,1.0,1
s603,0.9940000000000001,1
s604,0.976,1
s605,1.0,1
s606,0.991,1
s607,1.0,1
s608,1.0,1
s609,1.0,1
s610,1.0,1
s611,0.995,1
s612,1.0,1
s613,1.0,1
s614,0.8220000000000001,1
s615,0.9279999999999999,1
s616,1.0,1
s617,0.987,1
s618,0.997,1
s619,0.9620000000000001,1
s620,1.0,1
s621,0.9940000000000001,1
s622,1.0,1
s623,1.0,1
s624,0.9940000000000001,1
s625,0.996,1
s626,0.9840000000000001,1
s627,0.9079999999999999,1
s628,0.973,1
s629,1.0,1
s630,0.9940000000000001,1
s631,0.997,1
s632,0.9940000000000001,1
s633,1.0,1
s634,0.997,1
s635,1.0,1
s636,0.998,1
s637,0.966,1
s638,0.8290000000000001,1
s639,0.97,1
s640,0.97,1
s641,0.97,1
s642,1.0,1
s643,0.97,1
s644,0.945,1
s645,1.0,1
s646,1.0,1
s647,0.602,1
s648,0.604,1
s649,0.963,1
s650,0.995,1
s651,0.97,1
s652,0.992,1
s653,0.9540000000000001,1
s654,0.848,1
s655,0.7809999999999999,1
s656,0.795,1
s657,0.8540000000000001,1
s658,1.0,1
s659,0.9309999999999999,1
s660,0.997,1
s661,0.997,1
s662,1.0,1
s663,1.0,1
s664,0.991,1
s665,0.992,1
s666,0.966,1
s667,1.0,1
s668,1.0,1
s669,1.0,1
s670,0.995,1
s671,0.995,1
s672,0.888,1
s673,0.9570000000000001,1
s674,0.995,1
s675,0.963,1
s676,1.0,1
s677,1.0,1
s678,1.0,1
s679,0.998,1
s680,0.972,1
s681,0.9890000000000001,1
s682,0.848,1
s683,1.0,1
s684,0.885,1
s685,0.992,1
s686,1.0,1
s687,1.0,1
s688,0.982,1
s689,1.0,1
s690,1.0,1
s691,1.0,1
s692,0.998,1
s693,1.0,1
s694,1.0,1
s695,0.688,1
s696,1.0,1
s697,0.991,1
s698,1.0,1
s699,0.9890000000000001,1
s700,1.0,1
s701,0.84,1
s702,0.655,1
s703,1.0,1
s704,1.0,1
s705,1.0,1
s706,1.0,1
s707,0.998,1
s708,1.0,1
s709,0.995,1
s710,1.0,1
s711,1.0,1
s712,1.0,1
s713,1.0,1
s714,0.997,1
s715,0.852,1
s716,0.934,1
s717,0.5760000000000001,1
s718,1.0,1
s719,1.0,1
s720,0.996,1
s721,1.0,1
s722,0.9990000000000001,1
s723,0.988,1
s724,0.904,1
s725,1.0,1
s726,1.0,1
s727,1.0,1
s728,0.995,1
s729,1.0,1
s730,0.998,1
s731,1.0,1
s732,0.971,1
s733,0.996,1
s734,0.997,1
s735,1.0,1
s736,0.995,1
s737,0.987,1
s738,0.981,1
s739,1.0,1
s740,0.9940000000000001,1
s741,0.992,1
s742,0.985,1
s743,0.992,1
s744,1.0,1
s745,1.0,1
s746,0.998,1
s747,0.9690000000000001,1
s748,0.971,1
s749,0.7509999999999999,1
s750,0.9390000000000001,1
s751,1.0,1
s752,0.99,1
s753,0.992,1
s754,0.996,1
s755,0.996,1
s756,1.0,1
s757,1.0,1
s758,0.9990000000000001,1
s759,0.846,1
s760,1.0,1
s761,1.0,1
s762,1.0,1
s763,1.0,1
s764,0.998,1
s765,0.995,1
s766,1.0,1
s767,0.924,1
s768,0.99,1
s769,0.976,1
s770,1.0,1
s771,0.8140000000000001,1
s772,0.945,1
s773,0.89,1
s774,1.0,1
s775,0.995,1
s776,0.993,1
s777,0.99,1
s778,1.0,1
s779,0.995,1
s780,0.995,1
s781,0.995,1
s782,0.992,1
s783,0.985,1
s784,0.992,1
s785,1.0,1
s786,1.0,1
s787,1.0,1
s788,0.991,1
s789,0.986,1
s790,1.0,1
s791,1.0,1
s792,1.0,1
s793,0.992,1
s794,0.703,1
s795,0.925,1
s796,0.968,1
s797,0.997,1
s798,1.0,1
s799,1.0,1
s800,0.701,1
s801,0.997,1
s802,1.0,1
s803,0.998,1
s804,0.67,1
s805,0.584,1
s806,1.0,1
s807,0.8059999999999999,1
s808,0.9570000000000001,1
s809,1.0,1
s810,0.934,1
s811,0.99,1
s812,1.0,1
s813,1.0,1
s814,0.9890000000000001,1
s815,0.996,1
s816,0.996,1
s817,0.997,1
s818,0.997,1
s819,0.995,1
s820,0.987,1
s821,0.987,1
s822,0.9940000000000001,1
s823,0.99,1
s824,1.0,1
s825,0.9940000000000001,1
s826,1.0,1
s827,0.986,1
s828,0.961,1
s829,0.9890000000000001,1
s830,1.0,1
s831,0.9159999999999999,1
s832,0.972,1
s833,0.981,1
s834,1.0,1
s835,0.987,1
s836,1.0,1
s837,0.997,1
s838,1.0,1
s839,1.0,1
s840,0.988,1
s841,1.0,1
s842,1.0,1
s843,1.0,1
s844,1.0,1
s845,0.8220000000000001,1
s846,0.95,1
s847,0.996,1
s848,1.0,1
s849,1.0,1
s850,0.981,1
s851,0.991,1
s852,0.9740000000000001,1
s853,0.995,1
s854,1.0,1
s855,0.8440000000000001,1
s856,0.998,1
s857,1.0,1
s858,0.713,1
s859,0.996,1
s860,0.919,1
s861,1.0,1
s862,0.992,1
s863,1.0,1
s864,1.0,1
s865,0.995,1
s866,0.996,1
s867,0.992,1
s868,0.953,1
s869,0.738,1
s870,1.0,1
s871,1.0,1
s872,0.997,1
s873,0.693,1
s874,0.866,1
s875,1.0,1
s876,1.0,1
s877,0.904,1
s878,0.998,1
s879,1.0,1
s880,0.988,1
s881,0.991,1
s882,0.998,1
s883,0.7440000000000001,1
s884,0.866,1
s885,0.634,1
s886,0.996,1
s887,0.995,1
s888,0.649,1
s889,0.992,1
s890,1.0,1
s891,0.867,1
s892,0.996,1
s893,0.972,1
s894,0.9690000000000001,1
s895,0.998,1
s896,0.8440000000000001,1
s897,0.8190000000000001,1
s898,0.607,1
s899,0.8190000000000001,1
s900,0.8140000000000001,1
s901,0.9890000000000001,1
s902,1.0,1
s903,0.583,1
s904,0.655,1
s905,0.652,1
s906,1.0,1
s907,1.0,1
s908,0.997,1
s909,0.996,1
s910,1.0,1
s911,0.988,1
s912,0.894,1
s913,0.573,1
s914,1.0,1
s915,0.9840000000000001,1
s916,0.992,1
s917,0.9840000000000001,1
s918,0.982,1
s919,0.755,1
s920,0.703,1
s921,0.679,1
s922,0.659,1
s923,0.629,1
s924,0.601,1
s925,0.9840000000000001,1
s926,1.0,1
s927,0.998,1
s928,1.0,1
s929,1.0,1
s930,0.996,1
s931,0.9940000000000001,1
s932,0.997,1
s933,0.767,1
s934,0.996,1
s935,0.9690000000000001,1
s936,0.986,1
s937,0.972,1
s938,1.0,1
s939,0.98,1
s940,0.987,1
s941,0.973,1
s942,0.96,1
s943,0.98,1
s944,0.987,1
s945,1.0,1
s946,0.996,1
s947,0.993,1
s948,0.995,1
s949,0.992,1
s950,0.738,1
s951,0.996,1
s952,0.997,1
s953,0.996,1
s954,1.0,1
s955,1.0,1
s956,0.767,1
s957,1.0,1
s958,0.995,1
s959,0.997,1
s960,1.0,1
s961,0.997,1
s962,0.925,1
s963,0.938,1
s964,1.0,1
s965,0.826,1
s966,0.887,1
s967,0.755,1
s968,1.0,1
s969,0.883,1
s970,1.0,1
s971,1.0,1
s972,0.797,1
s973,0.831,1
s974,1.0,1
s975,1.0,1
s976,0.96,1
s977,0.95,1
s978,0.996,1
s979,1.0,1
s980,1.0,1
s981,0.981,1
s982,1.0,1
s983,1.0,1
s984,0.996,1
s985,1.0,1
s986,0.98,1
s987,0.924,1
s988,0.985,1
s989,0.8690000000000001,1
s990,0.995,1
s991,1.0,1
s992,1.0,1
s993,0.7859999999999999,1
s994,0.591,1
s995,0.804,1
s996,1.0,1
s997,1.0,1
s998,0.9420000000000001,1
s999,1.0,1
s1000,0.7959999999999999,1
s1001,0.795,1
s1002,1.0,1
s1003,0.998,1
s1004,0.998,1
s1005,1.0,1
s1006,1.0,1
s1007,0.753,1
s1008,1.0,1
s1009,0.8,1
s1010,0.995,1
s1011,1.0,1
s1012,0.998,1
s1013,1.0,1
s1014,1.0,1
s1015,0.753,1
s1016,0.992,1
s1017,0.992,1
s1018,0.992,1
s1019,1.0,1
s1020,1.0,1
s1021,0.922,1
s1022,1.0,1
s1023,0.998,1
s1024,1.0,1
s1025,0.912,1
s1026,0.996,1
s1027,0.996,1
s1028,0.752,1
s1029,0.6,1
s1030,0.998,1
s1031,0.998,1
s1032,0.998,1
s1033,0.998,1
s1034,0.998,1
s1035,0.9109999999999999,1
s1036,0.995,1
s1037,1.0,1
s1038,1.0,1
s1039,0.997,1
s1040,1.0,1
s1041,1.0,1
s1042,1.0,1
s1043,1.0,1
s1044,1.0,1
s1045,0.988,1
s1046,0.855,1
s1047,0.9109999999999999,1
s1048,0.9940000000000001,1
s1049,0.998,1
s1050,0.998,1
s1051,0.998,1
s1052,0.995,1
s1053,1.0,1
s1054,1.0,1
s1055,0.763,1
s1056,0.617,1
s1057,1.0,1
s1058,0.995,1
s1059,0.995,1
s1060,0.995,1
s1061,0.958,1
s1062,0.7090000000000001,1
s1063,0.982,1
s1064,0.995,1
s1065,1.0,1
s1066,0.996,1
s1067,1.0,1
s1068,1.0,1
s1069,0.775,1
s1070,0.996,1
s1071,0.995,1
s1072,0.995,1
s1073,0.995,1
s1074,1.0,1
s1075,1.0,1
s1076,1.0,1
s1077,0.997,1
s1078,1.0,1
s1079,1.0,1
s1080,0.9490000000000001,1
s1081,0.995,1
s1082,1.0,1
s1083,0.9620000000000001,1
s1084,0.9570000000000001,1
s1085,1.0,1
s1086,1.0,1
s1087,0.992,1
s1088,0.992,1
s1089,1.0,1
s1090,0.998,1
s1091,0.992,1
s1092,1.0,1
s1093,0.997,1
s1094,0.971,1
s1095,1.0,1
s1096,1.0,1
s1097,0.99,1
s1098,0.981,1
s1099,0.987,1
s1100,0.894,1
s1101,0.852,1
s1102,0.977,1
s1103,0.977,1
s1104,0.977,1
s1105,0.977,1
s1106,0.997,1
s1107,1.0,1
s1108,0.996,1
s1109,0.977,1
s1110,0.996,1
s1111,1.0,1
s1112,1.0,1
s1113,0.996,1
s1114,0.9059999999999999,1
s1115,1.0,1
s1116,0.997,1
s1117,0.977,1
s1118,0.997,1
s1119,0.997,1
s1120,1.0,1
s1121,0.945,1
s1122,0.632,1
s1123,0.773,1
s1124,1.0,1
s1125,0.996,1
s1126,0.996,1
s1127,0.9940000000000001,1
s1128,1.0,1
s1129,1.0,1
s1130,1.0,1
s1131,1.0,1
s1132,0.831,1
s1133,0.937,1
s1134,0.996,1
s1135,1.0,1
s1136,0.996,1
s1137,0.945,1
s1138,0.996,1
s1139,0.997,1
s1140,0.953,1
s1141,0.9990000000000001,1
s1142,1.0,1
s1143,1.0,1
s1144,1.0,1
s1145,0.981,1
s1146,0.983,1
s1147,0.986,1
s1148,0.9009999999999999,1
s1149,0.8909999999999999,1
s1150,0.99,1
s1151,0.7240000000000001,1
s1152,0.975,1
s1153,0.983,1
s1154,1.0,1
s1155,1.0,1
s1156,0.98,1
s1157,0.98,1
s1158,1.0,1
s1159,0.998,1
s1160,1.0,1
s1161,0.993,1
s1162,0.993,1
s1163,0.993,1
s1164,0.993,1
s1165,0.98,1
s1166,0.973,1
s1167,0.966,1
s1168,0.966,1
s1169,1.0,1
s1170,0.991,1
s1171,1.0,1
s1172,1.0,1
s1173,1.0,1
s1174,1.0,1
s1175,1.0,1
s1176,1.0,1
s1177,1.0,1
s1178,0.96,1
s1179,0.991,1
s1180,1.0,1
s1181,0.818,1
s1182,0.9940000000000001,1
s1183,0.997,1
s1184,1.0,1
s1185,0.7929999999999999,1
s1186,1.0,1
s1187,0.8059999999999999,1
s1188,0.995,1
s1189,1.0,1
s1190,1.0,1
s1191,1.0,1
s1192,0.997,1
s1193,0.591,1
s1194,0.735,1
s1195,0.993,1
s1196,0.9940000000000001,1
s1197,0.9940000000000001,1
s1198,0.9940000000000001,1
s1199,1.0,1
s1200,0.733,1
s1201,1.0,1
s1202,0.9690000000000001,1
s1203,1.0,1
s1204,0.981,1
s1205,0.8490000000000001,1
s1206,0.998,1
s1207,0.981,1
s1208,0.924,1
s1209,0.998,1
s1210,0.998,1
s1211,0.998,1
s1212,0.997,1
s1213,0.863,1
s1214,1.0,1
s1215,0.987,1
s1216,1.0,1
s1217,0.812,1
s1218,0.987,1
s1219,0.987,1
s1220,0.981,1
s1221,0.99,1
s1222,1.0,1
s1223,0.713,1
s1224,0.6579999999999999,1
s1225,0.9229999999999999,1
s1226,0.855,1
s1227,1.0,1
s1228,1.0,1
s1229,0.618,1
s1230,1.0,1
s1231,1.0,1
s1232,1.0,1
s1233,0.958,1
s1234,0.96,1
s1235,0.8390000000000001,1
s1236,1.0,1
s1237,0.998,1
s1238,0.992,1
s1239,1.0,1
s1240,1.0,1
s1241,0.855,1
s1242,1.0,1
s1243,0.7120000000000001,1
s1244,0.9359999999999999,1
s1245,0.9359999999999999,1
s1246,1.0,1
s1247,0.992,1
s1248,1.0,1
s1249,1.0,1
s1250,1.0,1
s1251,0.866,1
s1252,0.996,1
s1253,1.0,1
s1254,1.0,1
s1255,0.966,1
s1256,0.581,1
s1257,1.0,1
s1258,1.0,1
s1259,1.0,1
s1260,0.977,1
s1261,1.0,1
s1262,1.0,1
s1263,0.9159999999999999,1
s1264,0.997,1
s1265,0.991,1
s1266,0.996,1
s1267,0.992,1
s1268,0.996,1
s1269,1.0,1
s1270,1.0,1
s1271,0.992,1
s1272,0.992,1
s1273,0.992,1
s1274,0.966,1
s1275,0.991,1
s1276,1.0,1
s1277,0.616,1
s1278,1.0,1
s1279,0.998,1
s1280,1.0,1
s1281,0.6859999999999999,1
s1282,1.0,1
s1283,0.996,1
s1284,1.0,1
s1285,0.995,1
s1286,0.992,1
s1287,0.9940000000000001,1
s1288,0.9490000000000001,1
s1289,0.998,1
s1290,1.0,1
s1291,0.9940000000000001,1
s1292,0.992,1
s1293,1.0,1
s1294,1.0,1
s1295,0.6920000000000001,1
s1296,1.0,1
s1297,1.0,1
s1298,1.0,1
s1299,0.9259999999999999,1
s1300,0.992,1
s1301,1.0,1
s1302,0.978,1
s1303,0.9890000000000001,1
s1304,0.9890000000000001,1
s1305,1.0,1
s1306,1.0,1
s1307,1.0,1
s1308,1.0,1
s1309,0.99,1
s1310,0.9329999999999999,1
s1311,1.0,1
s1312,0.995,1
s1313,1.0,1
s1314,0.997,1
s1315,0.9690000000000001,1
s1316,1.0,1
s1317,1.0,1
s1318,0.997,1
s1319,1.0,1
s1320,0.993,1
s1321,0.929,1
s1322,0.7190000000000001,1
s1323,0.5920000000000001,1
s1324,0.996,1
s1325,0.996,1
s1326,1.0,1
s1327,0.996,1
s1328,0.753,1
s1329,1.0,1
s1330,1.0,1
s1331,1.0,1
s1332,0.6990000000000001,1
s1333,0.991,1
s1334,0.9690000000000001,1
s1335,0.976,1
s1336,0.9390000000000001,1
s1337,1.0,1
s1338,1.0,1
s1339,1.0,1
s1340,1.0,1
s1341,1.0,1
s1342,1.0,1
s1343,0.9990000000000001,1
s1344,0.9990000000000001,1
s1345,1.0,1
s1346,0.9990000000000001,1
s1347,0.9990000000000001,1
s1348,0.9990000000000001,1
s1349,0.7659999999999999,1
s1350,0.885,1
s1351,0.997,1
s1352,0.992,1
s1353,0.9840000000000001,1
s1354,0.71,1
s1355,0.5870000000000001,1
s1356,1.0,1
s1357,1.0,1
s1358,1.0,1
s1359,1.0,1
s1360,1.0,1
s1361,1.0,1
s1362,1.0,1
s1363,0.995,1
s1364,1.0,1
s1365,0.997,1
s1366,1.0,1
s1367,0.997,1
s1368,1.0,1
s1369,1.0,1
s1370,0.815,1
s1371,0.596,1
s1372,0.665,1
s1373,1.0,1
s1374,0.917,1
s1375,1.0,1
s1376,1.0,1
s1377,1.0,1
s1378,1.0,1
s1379,0.998,1
s1380,0.998,1
s1381,0.935,1
s1382,0.935,1
s1383,0.991,1
s1384,1.0,1
s1385,0.688,1
s1386,0.637,1
s1387,0.855,1
s1388,0.8170000000000001,1
s1389,1.0,1
s1390,1.0,1
s1391,1.0,1
s1392,0.997,1
s1393,0.992,1
s1394,0.992,1
s1395,0.992,1
s1396,0.992,1
s1397,0.991,1
s1398,1.0,1
